"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.96","21.96","19.29","19.06","18.86","19.83","18.51","17.24","14.84","11.34","",
"Africa Eastern and Southern","AFE","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.275","2.23","2.395","2.99","2.94","3.38","3.62","3.85","4.225","4.475","4.8","4.81","4.92","4.62","4.1","4.59","",
"Afghanistan","AFG","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37","0.58","0.92","1.24","1.48","2.23","2.39","2.22","2.13","2.25","2.3","2.16","2.11","2.04","1.96","1.87","","",
"Africa Western and Central","AFW","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","1.205","1.34","1.715","2.235","2.775","3.355","3.52","3.68","3.855","3.74","3.7","3.735","4.04","4.3","4.78","4.45","",
"Angola","AGO","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.81","2.24","3.38","3.87","4.65","5.22","7.41","8.37","9.04","10.15","10.19","10.44","10.29","10.29","9.49","9.44","8.75","",
"Albania","ALB","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.68","11.7","13.83","18.61","23.5","24.01","24.13","24.11","24.06","23.49","22.07","22.02","21.68","20.72","19.54","18.71","18.61","",
"Andorra","AND","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.785","8.775","10.64","10.01","10.55","10.86","10.845","10.965","11","11.025","11.75","11.3","11.955","11.375","11.14","12.08","12.22","",
"United Arab Emirates","ARE","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.07","13.32","12.61","12.16","12.31","11.82","11.69","11.67","11.96","12.39","12.75","12.79","12.37","11.27","10.74","9.53","7.98","",
"Argentina","ARG","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.43","13.24","13.24","13.19","13.12","12.99","13.04","13.14","13.22","13.25","13.23","13.26","13.45","13.54","13.49","13.45","13.21","",
"Armenia","ARM","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.84","12.3","13.68","15.81","17.31","17.79","18.56","19.98","21.28","21.74","22.71","23.4","23.11","23.14","23.61","24.24","24.55","",
"American Samoa","ASM","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.35","37.54","35.4","34.77","34.18","30.82","28.99","25.91","25.6","23.99","23.75","20.91","",
"Australia","AUS","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.67","30.65","31.24","31.67","31.57","31.22","30.75","30.41","30.94","30.14","29.16","28.75","27.74","29.63","28.22","26.43","25.43","",
"Austria","AUT","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.93","13.32","13.09","12.88","12.57","11.77","11.29","15.13","15.97","15.54","14.83","13.8","12.66","12.06","11.94","11.87","7.42","",
"Azerbaijan","AZE","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.52","6.75","7.33","8.21","9.19","9.79","9.86","10","9.69","10.2","10.82","10.66","","","7.06","7.02","6.22","",
"Burundi","BDI","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","1.64","1.77","1.89","1.93","2.09","2.33","2.54","2.77","3.28","3.2","3.23","3.22","","","","","",
"Belgium","BEL","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.28","53.77","53.51","51.44","49.74","48","45.05","43.5","42.53","41.46","39.88","38.55","36.55","34.79","32.39","29.64","","",
"Benin","BEN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","1.1","1.64","2.04","2.45","2.84","3.06","3.29","3.28","3.36","3.46","3.65","3.62","3.37","3.27","3.94","3.42","",
"Burkina Faso","BFA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16","1.3","1.22","1.51","1.68","1.83","1.94","2.11","2.16","2.34","2.78","2.91","2.89","2.86","2.83","3.08","2.82","",
