"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32589.0185715338","33838.7027744656","33930.119309959","34272.6121343932","35048.9096334242","34322.303522687","33524.3628617524","34946.4605694281","34895.2708558257","34641.0563436241","36517.6530096775","37220.0409512444","36048.6109088371","35692.1769965842","37620.8500520923","36994.979595873","37118.7088632047","38118.4656387148","38765.2591253245","34205.7154390824","33201.304799967","34189.6446917071","33665.7577585716","35622.0173668434","35405.0341285835","36461.8465609535","37046.877414129","38893.9605556605","39206.3561472197","38221.1173141676","29563.7569548003","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3083.97679962098","2998.43530692126","2858.93571457116","2768.0828119525","2741.74270306881","2788.86851006672","2864.24332537612","2910.47013921855","2888.9550359925","2892.68073397895","2915.47298695677","2946.07343662586","2983.61034123308","3003.01209433172","3093.22473814197","3203.70606997635","3329.89497852395","3463.64658415554","3528.07047801166","3461.68140940419","3545.20520323158","3589.31628677846","3576.56030152587","3626.79215644143","3677.31941354513","3694.91510280253","3691.28453219611","3694.91274079538","3697.31727489834","3684.31517238598","3491.97810446446","3556.35383261642",
"Afghanistan","AFG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1189.78466765718","1235.81006329565","1200.27801321734","1286.79365893927","1315.78911741835","1460.8257513794","1484.11446132539","1758.90447663765","1957.02906990812","1904.55992565594","2075.49161435331","2116.46525771251","2102.38460375974","2068.26590413364","2057.06797755329","2058.4002210698","2033.80438893717","2065.03623501599","1970.56016925338","",
"Africa Western and Central","AFW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2810.3411286934","2770.67279100558","2764.95639946369","2664.87834541313","2593.40438321294","2579.82216181025","2630.29646985131","2672.02967400499","2694.49144328126","2667.15769966357","2690.55583945125","2756.60176621859","2935.48803643242","3014.53859607927","3165.09110161366","3258.73650495837","3341.06838668833","3426.18453722669","3540.92191461249","3652.11403033384","3794.17949031727","3872.80912133943","3966.0712337978","4092.76862980104","4215.64599954669","4216.40920409444","4121.24911967415","4115.64548016495","4132.59299620066","4159.84464980278","4021.29391902622","4073.35792695312",
"Angola","AGO","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5758.95048759047","5625.86874382508","5126.46424630113","3772.47423099868","3701.63103134468","4122.11923958834","4532.38497055512","4708.14442824255","4772.39854765134","4720.60378013008","4707.95462499788","4746.66052319021","5218.65704925444","5196.12868688611","5569.43411145237","6183.84460985378","6652.86159320758","7310.83170139646","7831.40451023396","7611.54886934658","7693.74522083563","7676.60749590953","8037.74647354658","8141.24112319382","8240.34798147729","8036.63107637066","7569.20939779323","7310.89655060067","6982.12942016461","6712.02161540541","6141.96383913753","5990.41680534566",
"Albania","ALB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4827.03455072339","3496.37458438547","3264.82538695878","3598.81537051293","3921.62053177923","4471.60804364351","4908.93935380923","4400.31899440122","4819.07466673557","5474.85767850828","5892.59054790205","6441.44983333201","6753.8907686621","7154.00554514416","7580.13886435542","8040.09277938454","8568.56188548406","9150.12979716499","9912.16252751119","10313.9163382785","10749.4816711124","11052.793609652","11227.9663308153","11361.2686042225","11586.8338781686","11878.4544479362","12291.8594923382","12770.9642910053","13317.0923132442","13653.2015701651","13253.7333373551","14520.1110348118",
"Andorra","AND","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9711.84798854164","9699.82838794213","9983.66216790052","9977.08582445803","10004.6027475013","9966.18532176172","10189.6982012656","10403.1181055102","10709.1868468653","10687.2996705449","11129.8320371505","11082.3173379579","10908.6476583529","11200.0201786684","11886.279521902","12253.0599429374","12660.595228183","12919.6670845296","13312.6264001724","13058.2332365212","13339.5651356898","13454.1194263462","13901.210469514","13956.9482011843","13994.618680425","14235.0522875606","14428.6346539092","14378.7884646065","14475.8019570516","14445.1518556446","13528.3359651423","13767.6805870266",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111454.055665407","106103.552655326","103470.924576438","98978.4746140265","100213.156225941","101570.992100177","102211.638843842","105108.996265252","100100.43565772","97698.5373953003","102494.714623558","98621.5363875226","95909.1453591507","97795.027204619","97757.8551524795","90894.8988102544","86425.8972188149","76620.3150650904","68798.4182647295","58374.6153359177","54921.7972470719","56122.5766823001","57389.3187858778","59920.1523129247","62452.1845077905","65267.4151269176","66510.8936658052","67183.6053123325","66968.2211808633","68263.6755347175","63299.4229710023","",
"Argentina","ARG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14144.763670031","15221.7921466357","16209.3259772191","17312.0345746755","18092.0208138835","17362.5218025698","18104.6978094959","19347.5370400793","19866.2450529656","18981.1683827308","18625.2835537811","17610.7553863202","15523.0387763102","16714.6701331846","18032.6114274365","19426.4401434847","20777.6527103251","22424.1177287545","23103.4565215341","21519.8936160174","23521.2701750961","24647.6292739541","24118.8675158912","24424.1364465071","23550.0990599374","23933.8866120953","23189.5274451329","23597.117752839","22747.2416575831","22066.1010083881","19690.6614630829","21506.9193281695",
