Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.475405
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,9
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,5.288462
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,0
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,11.05769
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.1588794
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.523115
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,7
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,5.288462
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,1.923077
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,12.5
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.2646188
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.729808
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,5
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.4716981
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,2.35849
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.2478092
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.378587
Afghanistan,AFG,Regulatory Quality: Number of Sources,RQ.NO.SRC,8
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,8.173077
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",RQ.PER.RNK.LOWER,3.846154
Afghanistan,AFG,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",RQ.PER.RNK.UPPER,11.53846
